time,latitude,longitude,speed,miles,miles_lap,rtc,millis,rpm,input_voltage,motor_watt_hours,motor_tempMosfet,motor_tempMotor,motor_current,battery_current,motor_dutyCycle,motor_error,rasp_temp,battery_ampere,battery_voltage,charge,battery_temperature,autonomy
14:50:23.673, , ,-1,0,0, ,131521,0.00,91.50,0.00,11.60,7.60,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:23.927, , ,-1,0,0, ,131521,0.00,91.50,0.00,11.60,7.60,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:24.185, , ,-1,0,0, ,131920,0.00,91.50,0.00,11.60,7.60,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:24.436, , ,-1,0,0, ,132321,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:24.689, , ,-1,0,0, ,132321,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:24.945, , ,-1,0,0, ,132721,0.00,91.50,0.00,11.60,7.60,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:25.201, , ,-1,0,0, ,132721,0.00,91.50,0.00,11.60,7.60,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:25.458, , ,-1,0,0, ,133121,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:25.714, , ,-1,0,0, ,133521,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:25.970, , ,-1,0,0, ,133521,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:26.227, , ,-1,0,0, ,133921,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:26.478, , ,-1,0,0, ,134322,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:26.734, , ,-1,0,0, ,134322,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:26.987, , ,-1,0,0, ,134722,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:27.238, , ,-1,0,0, ,135121,0.00,91.50,0.00,11.60,7.60,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:27.493, , ,-1,0,0, ,135121,0.00,91.50,0.00,11.60,7.60,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:27.749, , ,-1,0,0, ,135522,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:28.012, , ,-1,0,0, ,135522,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:28.271, , ,-1,0,0, ,135922,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,26,0.40,93.60,79.50,18.00,0
